Rank,Strategy,CV_AUC_Mean,CV_AUC_Std,TPR_at_FPR_001
1,ExtraTrees,0.9021723722606648,0.02410722122523776,0.7278582930756844
2,ExtraTrees_FineTuned,0.9007801627830828,0.0239238934598916,0.7922705314009661
3,RF_Exhaustive,0.897725132569404,0.02425814199271779,0.6892109500805152
